,Restaurante,Valoración,Nota,Delivery_Fee,ETA,Tag,Precio,Dirección,Barrio,Tag_
660,Pastamore,98,4.6,2.4,30–40,Pizza,€,"Calle Esteban Collantes, 31,  28017",Ciudad Lineal,Pizza
661,Croqueteria Focos,60,2.7,1.4,25–35,Mediterránea,€,"Calle Del Príncipe De Vergara, 210, 28002",Ciudad Lineal,Mediterránea
662,Home Burger Bar,198,4.1,2.4,35–45,Hamburguesa,€,"Calle De La Virgen De La Fuencisla, 19,  28027",Ciudad Lineal,Hamburguesa
663,HyH Kebab Fried Chicken,23,3.6,1.0,40–60,Pollo,€,"Calle Mateo García, 13, 28017",Ciudad Lineal,Pollo
664,Pollos Gourmet,22,2.7,1.4,25–35,Pollo,€,"Calle De Azcona 36,  28028",Ciudad Lineal,Pollo
665,Arepish,186,4.6,1.9,30–40,SouthAmerica,€,"Calle De Cronos, 6, 28037",Ciudad Lineal,SouthAmerica
666,Ichibanya,40,4.0,1.9,40–60,Comida rápida,€,"Calle De Gonzalo De Berceo 63,  28017",Ciudad Lineal,Comida rápida
667,Asador Perla del Pacifico Ascao,39,4.6,1.9,30–40,Carne,€,"Calle De Julián Camarillo 47,  28037",Ciudad Lineal,Carne
668,Pic & Nic,200,4.5,2.4,25–35,SouthAmerica,€,"Paseo Del Marqués De Zafra 38, 28028",Ciudad Lineal,SouthAmerica
669,DIVE`S FOOD,22,2.7,1.9,40–50,Hamburguesa,€,"Calle De Las Naciones 5,  28006",Ciudad Lineal,Hamburguesa
670,PaellaGood,22,2.7,2.4,45–55,Mediterránea,€€,"Calle De Alcalá, 339, 28027",Ciudad Lineal,SouthAmerica
671,Pa Picar,22,2.7,0.9,20–30,SouthAmerica,€,"Calle Del Gral. Pardiñas, 32, 28001",Ciudad Lineal,SouthAmerica
672,Rude Burger,36,4.8,2.9,40–50,Hamburguesa,€€,"Calle Lopez de Hoyos 15, 28006",Ciudad Lineal,Hamburguesa
673,100 % Sano,22,2.7,2.9,35–45,Ensaladas,€€,"Calle De San Romualdo, 22, 28037",Ciudad Lineal,Ensaladas
674,McDonald's,200,4.2,2.4,20–30,Hamburguesa,€,"Calle Del Marqués De Mondéjar, 4,  28028",Ciudad Lineal,Hamburguesa
675,Thai Zafra,38,4.6,1.9,25–35,Tienda,€,"Calle De María De Molina, 44, 28006",Ciudad Lineal,Tienda
676,Flame,22,2.7,2.4,45–55,Hamburguesa,€,"Calle Conde De Penalver 35,  28006",Ciudad Lineal,Hamburguesa
677,Cor & Cor,35,4.3,2.4,50–60,Dulce,€,"Calle De Maldonado, 51, 28006",Ciudad Lineal,Dulce
678,Tiendas 7x24,140,4.8,2.4,30–40,Tienda,€,"Calle De Méjico 20,  28028",Ciudad Lineal,Tienda
679,Restaurante Chino Diamante,100,4.0,1.9,35–45,China,€,"Calle De Emilio Gastesi Fernández 12, 28027",Ciudad Lineal,China
680,Tienduki,22,2.7,2.99,5–25,Tienda,€,"Calle Del Dr. Esquerdo, 10, 28028",Ciudad Lineal,Tienda
681,Empanadas Pampas,22,2.7,2.4,35–45,Empanada,€,"Calle Ferretería, 3, 28037",Ciudad Lineal,Empanada
682,Make doner,15,3.9,2.4,50–60,Dulce,€,"Calle Zabaleta 1,  28002",Ciudad Lineal,Dulce
683,CHUCK CHUCK CHICKEN,22,2.7,2.4,40–50,Pollo,€,"Calle De Mota Del Cuervo, 76, 28043",Ciudad Lineal,Pollo
684,El Nuevo Yantar,22,2.7,3.9,45–55,Dulce,€,"C/ Alcala 232, 28017",Ciudad Lineal,Dulce
685,Tim Hortons,36,4.9,1.4,25–35,Ensaladas,€,"Calle De Arturo Soria, 189, 28043",Ciudad Lineal,Ensaladas
686,Pasteleria Saul,27,4.2,2.4,25–35,Dulce,€,"Plaza Sagrado Corazón De Jesús, 2, 28002",Ciudad Lineal,Dulce
687,Foster's Hollywood,65,4.2,2.4,40–50,Hamburguesa,€€,"Calle De Silvano, 77, 28043",Ciudad Lineal,Hamburguesa
688,Kebab Bosforos,80,4.5,2.9,40–50,Kebab,€,"Av. Del Marqués De Corbera, 40, 28017",Ciudad Lineal,Kebab
689,Bar el castaño,22,2.7,1.9,30–40,Mediterránea,€,"Calle De Hermosilla, 91, 28001",Ciudad Lineal,Mediterránea
690,Esmirna Doner Kebap,48,4.7,2.4,35–45,Kebab,€,"Calle Zabaleta 1,  28002",Ciudad Lineal,Kebab
691,Golat Helados,22,2.7,2.4,35–45,Dulce,€,"Calle Zabaleta 1,  28002",Ciudad Lineal,Dulce
692,Frambons,22,2.7,2.4,35–45,Empanada,€,"Av. Del Mediterráneo, 30, 28009",Ciudad Lineal,Empanada
693,Mahalo Poke,22,2.7,2.5,30–50,Poke,€€,"Calle De Cartagena, 131, 28002",Ciudad Lineal,Poke
694,Doner kebap efes,23,4.7,2.4,25–35,Kebab,€,"Calle De López De Hoyos, 139, 28002",Ciudad Lineal,Kebab
695,Doner kebap efes,30,4.6,1.9,30–40,Kebab,€,"Calle De Alcalá 205, 28028",Ciudad Lineal,Kebab
696,100 Montaditos,22,2.7,1.9,35–45,Mediterránea,€,"Calle Del Conde De Peñalver 43,   28006",Ciudad Lineal,Mediterránea
697,CHOCOLATES VALOR,12,4.1,2.9,60–70,Dulce,€,"Calle De Francisco Silvela 63,  28006",Ciudad Lineal,Dulce
698,Sumo Grill,26,4.5,2.9,60–70,Kebab,€,"Calle De Ezequiel Solana, 52, 28017",Ciudad Lineal,Kebab
699,Da Yuan,200,4.4,2.9,60–70,Pizza,€,"Calle Del Conde De Peñalver, 66, 28006",Ciudad Lineal,Pizza
700,Filippo Pizza,22,2.7,2.9,60–70,Hamburguesa,€,"Calle De Ricardo Ortiz, 20, 28017",Ciudad Lineal,Hamburguesa
701,Tennessee BBQ,77,4.8,2.9,60–70,Hamburguesa,€,"Calle Lopez de Hoyos 15, 28006",Ciudad Lineal,Hamburguesa
